name.unique	san	url	last_move_number
Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit	1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4	https://lichess.org/F6TGOvm5	7
Hungarian Opening: Reversed Modern Defense	1. g3 d5 2. Bg2 c5	https://lichess.org/GNrLOxVD	4
Hungarian Opening: Reversed Norwegian Defense	1. g3 e5 2. Nf3 e4 3. Nh4	https://lichess.org/5lmlPQOi	5
Hungarian Opening: Sicilian Invitation	1. g3 c5	https://lichess.org/E0sCBtxn	2
Hungarian Opening: Slav Formation	1. g3 d5 2. Bg2 c6	https://lichess.org/rYZAAqAg	4
Hungarian Opening: Symmetrical Variation	1. g3 g6	https://lichess.org/P64ylDRg	2
Hungarian Opening: Van Kuijk Gambit	1. g3 h5 2. Nf3 h4	https://lichess.org/E7nrpsZX	4
Hungarian Opening: Winterberg Gambit	1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3	https://lichess.org/ufma5tCe	7
Indian Defense: Colle System, King's Indian Variation	1. e3 d6 2. d4 g6 3. Nf3 Bg7 4. Bd3 Nf6	https://lichess.org/lyBwm3HL	8
Kadas Opening	1. h4	https://lichess.org/IrvKNqKf	1
Kadas Opening: Beginner's Trap	1. h4 d5 2. Rh3	https://lichess.org/A2zLogQu	3
Kadas Opening: Kadas Gambit 1	1. h4 c5 2. b4	https://lichess.org/z25TgHox	3
Kadas Opening: Kadas Gambit 2	1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3	https://lichess.org/NBafacon	7
Kadas Opening: Kadas Gambit 3	1. h4 e5 2. d4 exd4 3. c3	https://lichess.org/NH220zKx	5
Kadas Opening: Myers Variation	1. h4 d5 2. d4 c5 3. e4	https://lichess.org/WnbddJra	5
Kadas Opening: Schneider Gambit	1. h4 g5	https://lichess.org/cuUmFAJQ	2
Kadas Opening: Steinbok Gambit	1. h4 f5 2. e4 fxe4 3. d3	https://lichess.org/VIUPFcVo	5
Lasker Simul Special	1. g3 h5	https://lichess.org/5LLZIow7	2
Mieses Opening	1. d3	https://lichess.org/JVK1XddT	1
Mieses Opening: Myers Spike Attack	1. d3 g6 2. g4	https://lichess.org/7XOjRKBq	3
Mieses Opening: Reversed Rat	1. d3 e5	https://lichess.org/lWaStamr	2
Polish Opening	1. b4	https://lichess.org/6JxbSpgo	1
Polish Opening: Baltic Defense	1. b4 d5 2. Bb2 Bf5	https://lichess.org/EKnUBm8t	4
Polish Opening: Birmingham Gambit	1. b4 c5	https://lichess.org/qrwf2hpu	2
Polish Opening: Bugayev Advance Variation	1. b4 e5 2. Bb2 f6 3. b5	https://lichess.org/EOisBH5W	5
Polish Opening: Bugayev Attack	1. b4 e5 2. a3	https://lichess.org/KZ9BCsyj	3
Polish Opening: Czech Defense	1. b4 e5 2. Bb2 d6	https://lichess.org/5eL4BEvQ	4
Polish Opening: Dutch Defense	1. b4 f5	https://lichess.org/vUPM4Qlf	2
Polish Opening: German Defense	1. b4 d5 2. Bb2 Qd6	https://lichess.org/QxCarhHc	4
Polish Opening: Grigorian Variation	1. b4 Nc6	https://lichess.org/y8Of6q18	2
Polish Opening: Karniewski Variation	1. b4 Nh6	https://lichess.org/3Z9495oB	2
Polish Opening: King's Indian Variation	1. b4 Nf6 2. Bb2 g6	https://lichess.org/JibfpWcy	4
Polish Opening: King's Indian Variation, Schiffler Attack	1. b4 Nf6 2. Bb2 g6 3. e4	https://lichess.org/5n1V3KWT	5
Polish Opening: Myers Variation	1. b4 d5 2. Bb2 c6 3. a4	https://lichess.org/RVg6b5bY	5
Polish Opening: Orangutan-Diemer Gambit	1. b4 d5 2. Bb2 Qd6 3. a3 e5 4. e4 dxe4 5. f3	https://lichess.org/MFsCaWwl	9
Polish Opening: Orangutan-Hartlaub Gambit	1. b4 Nf6 2. Bb2 e6 3. a3 c6 4. d3 a5 5. bxa5 d5 6. e4	https://lichess.org/oNRc6OGE	11
Polish Opening: Outflank Variation	1. b4 c6	https://lichess.org/XvcGa15v	2
Polish Opening: Queen's Indian Variation	1. b4 e6 2. Bb2 Nf6 3. b5 b6	https://lichess.org/ZdIjDkst	6
Polish Opening: Queenside Defense	1. b4 e6 2. Bb2 Nf6 3. b5 a6	https://lichess.org/GrFOqnNb	6
Polish Opening: Rooks Swap Line	1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1	https://lichess.org/IoGljcJm	11
Polish Opening: Schiffler-Sokolsky Variation	1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3	https://lichess.org/pdFt1bwo	7
Polish Opening: Schuehler Gambit	1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4	https://lichess.org/cxMKBgGP	7
Polish Opening: Symmetrical Variation	1. b4 b5	https://lichess.org/6f0LKXox	2
Polish Opening: Tartakower Gambit	1. b4 e5 2. Bb2 f6 3. e4	https://lichess.org/7Pr8ptIz	5
Polish Opening: Tartakower Gambit, Brinckmann Variation	1. b4 e5 2. Bb2 f6 3. e4 Bxb4 4. Bc4 Nc6 5. f4 Qe7 6. f5 g6	https://lichess.org/9W6jRpHO	12
Polish Opening: Wolferts Gambit	1. b4 e5 2. Bb2 c5	https://lichess.org/RjVzOwoP	4
Saragossa Opening	1. c3	https://lichess.org/z0QpEdk9	1
Sodium Attack	1. Na3	https://lichess.org/jEIMTWWv	1
Sodium Attack: Celadon Variation	1. Na3 e5 2. d3 Bxa3 3. bxa3 d5 4. e3 c5 5. Rb1	https://lichess.org/1AcsW1ER	9
Sodium Attack: Chenoboskion Variation	1. Na3 g6 2. g4	https://lichess.org/jWwxufCa	3
Sodium Attack: Durkin Gambit	1. Na3 e5 2. Nc4 Nc6 3. e4 f5	https://lichess.org/RMGLCO8p	6
Valencia Opening	1. d3 e5 2. Nd2	https://lichess.org/2JJB8rW7	3
Van Geet Opening	1. Nc3	https://lichess.org/8W3wIsvx	1
Van Geet Opening: Battambang Variation	1. a3 e5 2. Nc3	https://lichess.org/8JgH55QI	3
Van Geet Opening: Billockus-Johansen Gambit	1. Nc3 e5 2. Nf3 Bc5	https://lichess.org/3iAMujvr	4
Van Geet Opening: Caro-Kann Variation, St. Patrick's Attack	1. Nc3 d5 2. e4 c6 3. h3	https://lichess.org/LTOLc2Oz	5
Van Geet Opening: Damhaug Gambit	1. Nc3 d5 2. f4 e5	https://lichess.org/2d2zB8M7	4
Van Geet Opening: Dougherty Gambit	1. Nc3 d5 2. e4 dxe4 3. f3	https://lichess.org/nUV97pn2	5
Van Geet Opening: Dunst-Perrenet Gambit	1. Nc3 d5 2. e4 dxe4 3. d3	https://lichess.org/MDL9Y5WI	5
Van Geet Opening: Düsseldorf Gambit	1. Nc3 c5 2. b4	https://lichess.org/SCGzgCTk	3
Van Geet Opening: Gladbacher Gambit	1. Nc3 e5 2. b3 d5 3. e4 dxe4 4. d3	https://lichess.org/S2AgBzJ2	7
Van Geet Opening: Hector Gambit	1. Nc3 d5 2. e4 dxe4 3. Bc4	https://lichess.org/djmZ5phI	5
Van Geet Opening: Hergert Gambit	1. Nc3 d6 2. f4 e5 3. fxe5 Nc6	https://lichess.org/vrOviIjT	6
Van Geet Opening: Hulsemann Gambit	1. Nc3 e5 2. e3 d5 3. Qh5 Be6	https://lichess.org/cWA7mRnC	6
Van Geet Opening: Jendrossek Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 f5 4. Nf2 Nf6 5. Nf3 c5 6. b4	https://lichess.org/QroCWT50	11
Van Geet Opening: Kluever Gambit	1. Nc3 f5 2. e4 fxe4 3. d3	https://lichess.org/n61hLED6	5
Van Geet Opening: Laroche Gambit	1. Nc3 b5	https://lichess.org/DxQHWgCI	2
Van Geet Opening: Liebig Gambit	1. Nc3 e5 2. e3 d5 3. Qh5 Nf6	https://lichess.org/pvupjgLC	6
Van Geet Opening: Melleby Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 c5	https://lichess.org/VpVDpOdf	6
Van Geet Opening: Myers Attack	1. Nc3 g6 2. h4	https://lichess.org/Ke7Dg9or	3
Van Geet Opening: Napoleon Attack	1. Nc3 e5 2. Nf3 Nc6 3. d4	https://lichess.org/2L9DBeGj	5
Van Geet Opening: Novosibirsk Variation	1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4	https://lichess.org/YMgf7fWD	7
Van Geet Opening: Pfeiffer Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 e5	https://lichess.org/7pEk4mFW	6
Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit	1. Nc3 d5 2. f4 d4 3. Ne4 e5 4. Nf3	https://lichess.org/wv6hMWFp	7
Van Geet Opening: Reversed Nimzowitsch	1. Nc3 e5	https://lichess.org/TuMRDnf1	2
Van Geet Opening: Reversed Scandinavian	1. Nc3 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qa4	https://lichess.org/TcuUNPZ6	7
Van Geet Opening: Sicilian Two Knights	1. Nc3 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4	https://lichess.org/5aZmKrM2	7
Van Geet Opening: Sleipnir Gambit	1. Nc3 d5 2. e3 e5 3. d4 Bb4	https://lichess.org/Kl1CLl1P	6
Van Geet Opening: Twyble Attack	1. Nc3 c5 2. Rb1	https://lichess.org/rDo883H0	3
Van Geet Opening: Tübingen Gambit	1. Nc3 Nf6 2. g4	https://lichess.org/SbczjYdj	3
