name.unique	san	url
Grob Opening: Grob Gambit	1. g4 d5 2. Bg2	https://lichess.org/tUU0xc6x
Grob Opening: Grob Gambit Declined	1. g4 d5 2. Bg2 c6	https://lichess.org/84MjS2yA
Grob Opening: Grob Gambit, Basman Gambit	1. g4 d5 2. Bg2 h5 3. gxh5	https://lichess.org/wZO3CbLa
Grob Opening: Grob Gambit, Fritz Gambit	1. g4 d5 2. Bg2 Bxg4 3. c4	https://lichess.org/eGqwMbo1
Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit	1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8	https://lichess.org/oQx9MmV3
Grob Opening: Grob Gambit, Keres Gambit	1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3	https://lichess.org/RJ0wbnCh
Grob Opening: Grob Gambit, Richter-Grob Gambit	1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3	https://lichess.org/X4b7lDNM
Grob Opening: Keene Defense	1. g4 d5 2. h3 e5 3. Bg2 c6	https://lichess.org/xFsAwTDh
Grob Opening: Keene Defense, Main Line	1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3 Ne7	https://lichess.org/PdNwrQEs
Grob Opening: London Defense	1. g4 e5 2. h3 Nc6	https://lichess.org/kj2eytga
Grob Opening: Romford Countergambit	1. g4 d5 2. Bg2 Bxg4 3. c4 d4	https://lichess.org/am8Zgyxg
Grob Opening: Spike Attack	1. g4 d5 2. Bg2 c6 3. g5	https://lichess.org/Co5GmYrz
Grob Opening: Spike, Hurst Attack	1. g4 e5 2. Bg2 d5 3. c4	https://lichess.org/MoThe0NI
Grob Opening: Zilbermints Gambit	1. g4 d5 2. e4 dxe4 3. Nc3	https://lichess.org/mSMYVunL
Grob Opening: Zilbermints Gambit, Schiller Defense	1. g4 d5 2. e4 dxe4 3. Nc3 h5	https://lichess.org/hhVanLXO
Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit	1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3	https://lichess.org/4EuWsQk3
Hungarian Opening	1. g3	https://lichess.org/8NL27OjP
Hungarian Opening: Asten Gambit	1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5	https://lichess.org/yfNGLPaB
Hungarian Opening: Burk Gambit	1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7 5. d3	https://lichess.org/y81saphO
Hungarian Opening: Bücker Gambit	1. g3 d5 2. Bg2 e5 3. b4	https://lichess.org/hLLAnzyG
Hungarian Opening: Catalan Formation	1. g3 d5 2. Bg2 e6	https://lichess.org/XlRayNTw
Hungarian Opening: Dutch Defense	1. g3 f5	https://lichess.org/l9a0Suik
Hungarian Opening: Indian Defense	1. g3 Nf6	https://lichess.org/rdmnzGVL
Hungarian Opening: Myers Defense	1. g3 g5	https://lichess.org/p7C9ve43
Hungarian Opening: Pachman Gambit	1. g3 f5 2. e4 fxe4 3. Qh5+ g6	https://lichess.org/PKn9hGFP
Hungarian Opening: Paris Gambit	1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O	https://lichess.org/dqURtjcY
Hungarian Opening: Reversed Alekhine	1. g3 e5 2. Nf3	https://lichess.org/77000mu3
Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit	1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4	https://lichess.org/F6TGOvm5
Hungarian Opening: Reversed Modern Defense	1. g3 d5 2. Bg2 c5	https://lichess.org/GNrLOxVD
Hungarian Opening: Reversed Norwegian Defense	1. g3 e5 2. Nf3 e4 3. Nh4	https://lichess.org/5lmlPQOi
Hungarian Opening: Sicilian Invitation	1. g3 c5	https://lichess.org/E0sCBtxn
Hungarian Opening: Slav Formation	1. g3 d5 2. Bg2 c6	https://lichess.org/rYZAAqAg
Hungarian Opening: Symmetrical Variation	1. g3 g6	https://lichess.org/P64ylDRg
Hungarian Opening: Van Kuijk Gambit	1. g3 h5 2. Nf3 h4	https://lichess.org/E7nrpsZX
Hungarian Opening: Winterberg Gambit	1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3	https://lichess.org/ufma5tCe
Indian Defense: Colle System, King's Indian Variation	1. e3 d6 2. d4 g6 3. Nf3 Bg7 4. Bd3 Nf6	https://lichess.org/lyBwm3HL
Kadas Opening	1. h4	https://lichess.org/IrvKNqKf
Kadas Opening: Beginner's Trap	1. h4 d5 2. Rh3	https://lichess.org/A2zLogQu
Kadas Opening: Kadas Gambit 1	1. h4 c5 2. b4	https://lichess.org/z25TgHox
